act1,act2,act3,act_output,opt,min_loss
sigmoid,relu,sigmoid,sigmoid,adam,343794752.0
sigmoid,relu,sigmoid,sigmoid,SGD,343794464.0
sigmoid,relu,sigmoid,sigmoid,Adadelta,343808864.0
sigmoid,linear,relu,relu,RMSprop,331350528.0
sigmoid,linear,relu,relu,adam,343830272.0
sigmoid,linear,relu,relu,SGD,343830272.0
sigmoid,linear,relu,relu,Adadelta,343743584.0
sigmoid,linear,relu,tanh,RMSprop,343794496.0
sigmoid,linear,relu,tanh,adam,343794528.0
sigmoid,linear,relu,tanh,SGD,343794464.0
sigmoid,linear,relu,tanh,Adadelta,343834784.0
sigmoid,linear,relu,softmax,RMSprop,343794464.0
sigmoid,linear,relu,softmax,adam,343794464.0
sigmoid,linear,relu,softmax,SGD,343794464.0
sigmoid,linear,relu,softmax,Adadelta,343794464.0
sigmoid,linear,relu,linear,RMSprop,334685248.0
sigmoid,linear,relu,linear,adam,309837696.0
sigmoid,linear,relu,linear,SGD,4.363727145428582e+16
sigmoid,linear,relu,linear,Adadelta,343877376.0
sigmoid,linear,relu,sigmoid,RMSprop,343794496.0
sigmoid,linear,relu,sigmoid,adam,343794528.0
sigmoid,linear,relu,sigmoid,SGD,343794464.0
sigmoid,linear,relu,sigmoid,Adadelta,343811328.0
sigmoid,linear,linear,relu,RMSprop,343830272.0
sigmoid,linear,linear,relu,adam,280981184.0
sigmoid,linear,linear,relu,SGD,343830304.0
sigmoid,linear,linear,relu,Adadelta,343830272.0
sigmoid,linear,linear,tanh,RMSprop,343794464.0
sigmoid,linear,linear,tanh,adam,343794464.0
sigmoid,linear,linear,tanh,SGD,343794464.0
sigmoid,linear,linear,tanh,Adadelta,343844032.0
sigmoid,linear,linear,softmax,RMSprop,343794464.0
sigmoid,linear,linear,softmax,adam,343794496.0
sigmoid,linear,linear,softmax,SGD,343794496.0
sigmoid,linear,linear,softmax,Adadelta,343794464.0
sigmoid,linear,linear,linear,RMSprop,314455552.0
sigmoid,linear,linear,linear,adam,286473696.0
sigmoid,linear,linear,linear,SGD,4619108477829120.0
sigmoid,linear,linear,linear,Adadelta,343821504.0
sigmoid,linear,linear,sigmoid,RMSprop,343794464.0
sigmoid,linear,linear,sigmoid,adam,343794496.0
sigmoid,linear,linear,sigmoid,SGD,343794464.0
sigmoid,linear,linear,sigmoid,Adadelta,343811936.0
sigmoid,linear,sigmoid,relu,RMSprop,343830272.0
sigmoid,linear,sigmoid,relu,adam,343830272.0
sigmoid,linear,sigmoid,relu,SGD,343830272.0
sigmoid,linear,sigmoid,relu,Adadelta,343830272.0
sigmoid,linear,sigmoid,tanh,RMSprop,343794496.0
sigmoid,linear,sigmoid,tanh,adam,343794656.0
sigmoid,linear,sigmoid,tanh,SGD,343794464.0
sigmoid,linear,sigmoid,tanh,Adadelta,343831904.0
sigmoid,linear,sigmoid,softmax,RMSprop,343794464.0
sigmoid,linear,sigmoid,softmax,adam,343794496.0
sigmoid,linear,sigmoid,softmax,SGD,343794496.0
sigmoid,linear,sigmoid,softmax,Adadelta,343794496.0
sigmoid,linear,sigmoid,linear,RMSprop,343406048.0
sigmoid,linear,sigmoid,linear,adam,343297408.0
sigmoid,linear,sigmoid,linear,SGD,23042718.0
sigmoid,linear,sigmoid,linear,Adadelta,343831872.0
sigmoid,linear,sigmoid,sigmoid,RMSprop,343794528.0
sigmoid,linear,sigmoid,sigmoid,adam,343794624.0
sigmoid,linear,sigmoid,sigmoid,SGD,343794496.0
sigmoid,linear,sigmoid,sigmoid,Adadelta,343818304.0
sigmoid,sigmoid,relu,relu,RMSprop,343830272.0
sigmoid,sigmoid,relu,relu,adam,343830304.0
sigmoid,sigmoid,relu,relu,SGD,343830272.0
sigmoid,sigmoid,relu,relu,Adadelta,343812800.0
sigmoid,sigmoid,relu,tanh,RMSprop,343794464.0
sigmoid,sigmoid,relu,tanh,adam,343794624.0
sigmoid,sigmoid,relu,tanh,SGD,343794464.0
sigmoid,sigmoid,relu,tanh,Adadelta,343814560.0
sigmoid,sigmoid,relu,softmax,RMSprop,343794496.0
sigmoid,sigmoid,relu,softmax,adam,343794464.0
sigmoid,sigmoid,relu,softmax,SGD,343794496.0
sigmoid,sigmoid,relu,softmax,Adadelta,343794464.0
sigmoid,sigmoid,relu,linear,RMSprop,341679424.0
sigmoid,sigmoid,relu,linear,adam,340525504.0
sigmoid,sigmoid,relu,linear,SGD,43851751424.0
sigmoid,sigmoid,relu,linear,Adadelta,343836352.0
sigmoid,sigmoid,relu,sigmoid,RMSprop,343794464.0
sigmoid,sigmoid,relu,sigmoid,adam,343794592.0
sigmoid,sigmoid,relu,sigmoid,SGD,343794464.0
sigmoid,sigmoid,relu,sigmoid,Adadelta,343812160.0
sigmoid,sigmoid,linear,relu,RMSprop,343830272.0
sigmoid,sigmoid,linear,relu,adam,343830272.0
sigmoid,sigmoid,linear,relu,SGD,343830272.0
sigmoid,sigmoid,linear,relu,Adadelta,343824064.0
sigmoid,sigmoid,linear,tanh,RMSprop,343794464.0
sigmoid,sigmoid,linear,tanh,adam,343794528.0
sigmoid,sigmoid,linear,tanh,SGD,343842304.0
sigmoid,sigmoid,linear,tanh,Adadelta,343826784.0
sigmoid,sigmoid,linear,softmax,RMSprop,343794464.0
sigmoid,sigmoid,linear,softmax,adam,343794496.0
sigmoid,sigmoid,linear,softmax,SGD,343794464.0
sigmoid,sigmoid,linear,softmax,Adadelta,343794464.0
sigmoid,sigmoid,linear,linear,RMSprop,337925376.0
sigmoid,sigmoid,linear,linear,adam,335075360.0
sigmoid,sigmoid,linear,linear,SGD,72412815360.0
sigmoid,sigmoid,linear,linear,Adadelta,343852992.0
sigmoid,sigmoid,linear,sigmoid,RMSprop,343794464.0
sigmoid,sigmoid,linear,sigmoid,adam,343794528.0
sigmoid,sigmoid,linear,sigmoid,SGD,343817280.0
sigmoid,sigmoid,linear,sigmoid,Adadelta,343815392.0
sigmoid,sigmoid,sigmoid,relu,RMSprop,343830272.0
sigmoid,sigmoid,sigmoid,relu,adam,343830272.0
sigmoid,sigmoid,sigmoid,relu,SGD,343830272.0
